force (kg),x_mag,y_mag,z_mag,,,,,
-0.615,-0.008087089,-0.011072645,-0.002005269,,-1.1193,-0.008226476,-0.01197331,-0.00122522
-0.62,-0.007166607,-0.010802581,-0.002105533,,-1.1284,-0.007305995,-0.011703246,-0.001325483
-0.625,-0.007561099,-0.010532516,-0.001804743,,-1.1375,-0.007700487,-0.011433181,-0.001024693
-0.63,-0.007561099,-0.010532516,-0.001804743,,-1.1466,-0.007700487,-0.011433181,-0.001024693
-0.635,-0.008678827,-0.011072645,-0.002506587,,-1.1557,-0.008818214,-0.01197331,-0.001726537
-0.64,-0.009204817,-0.00958729,-0.002406323,,-1.1648,-0.009344204,-0.010487955,-0.001626274
-0.645,-0.009204817,-0.011477742,-0.002105533,,-1.1739,-0.009344204,-0.012378407,-0.001325483
-0.65,-0.011374524,-0.012017871,-0.00260685,,-1.183,-0.011513911,-0.012918536,-0.0018268
-0.655,-0.009007571,-0.011612774,-0.002406323,,-1.1921,-0.009146958,-0.012513439,-0.001626274
-0.66,-0.00953356,-0.012422968,-0.003308695,,-1.2012,-0.009672947,-0.013323633,-0.002528645
-0.665,-0.009993801,-0.010397484,-0.00230606,,-1.2103,-0.010133188,-0.011298149,-0.00152601
