force (kg),x_mag,y_mag,z_mag,,force (kg),,,
-0.44,0.01558244,-0.001080258,-0.001604216,,-0.8008,0.014322695,0.001416488,-0.002392286
-0.445,0.01558244,-0.001080258,-0.001604216,,-0.8099,0.014322695,0.001416488,-0.002392286
-0.45,0.015450942,-0.000135032,-0.00260685,,-0.819,0.014191197,0.002361714,-0.003394921
-0.455,0.009204817,-0.000135032,-0.001804743,,-0.8281,0.007945072,0.002361714,-0.002592813
-0.46,0.009928052,0.001350323,-0.00230606,,-0.8372,0.008668307,0.003847069,-0.003094131
-0.465,0.009467812,0.001350323,-0.002506587,,-0.8463,0.008208067,0.003847069,-0.003294658
-0.47,0.005785885,0.001350323,-0.002005269,,-0.8554,0.00452614,0.003847069,-0.00279334
-0.475,0.017554901,0,-0.002907641,,-0.8645,0.016295156,0.002496746,-0.003695712
-0.48,0.017620649,0,-0.002907641,,-0.8736,0.016360904,0.002496746,-0.003695712
-0.485,0.012295005,0.001620387,-0.003408958,,-0.8827,0.01103526,0.004117134,-0.004197029
-0.49,0.013872974,-0.000270065,-0.003609485,,-0.8918,0.012613229,0.002226682,-0.004397556
-0.495,0.017949393,-0.00121529,-0.003208431,,-0.9009,0.016689648,0.001281456,-0.003996502
-0.5,0.009139068,0.002295548,-0.003509222,,-0.91,0.007879323,0.004792295,-0.004297292
-0.505,0.012295005,0.000135032,-0.002907641,,-0.9191,0.01103526,0.002631779,-0.003695712
-0.51,0.014398963,0.000810194,-0.003208431,,-0.9282,0.013139218,0.00330694,-0.003996502
-0.515,0.009928052,0.000405097,-0.003208431,,-0.9373,0.008668307,0.002901843,-0.003996502
-0.52,0.011637518,-0.00121529,-0.003810012,,-0.9464,0.010377773,0.001281456,-0.004598083
-0.525,0.014464712,0.001620387,-0.003208431,,-0.9555,0.013204967,0.004117134,-0.003996502
-0.53,0.011769016,0.002295548,-0.003609485,,-0.9646,0.010509271,0.004792295,-0.004397556
-0.535,0.013149738,-0.000810194,-0.003408958,,-0.9737,0.011889993,0.001686553,-0.004197029
-0.54,0.017226157,-0.000675161,-0.003007904,,-0.9828,0.015966412,0.001821585,-0.003795975
-0.545,0.012755246,0.001890452,-0.003709749,,-0.9919,0.011495501,0.004387198,-0.004497819
-0.55,0.012755246,0.001890452,-0.003709749,,-1.001,0.011495501,0.004387198,-0.004497819
-0.555,0.01558244,0.000540129,-0.002907641,,-1.0101,0.014322695,0.003036875,-0.003695712
-0.56,0.014135969,0.001485355,-0.003509222,,-1.0192,0.012876224,0.003982101,-0.004297292
-0.565,0.014530461,-0.001350323,-0.003308695,,-1.0283,0.013270716,0.001146424,-0.004096766
-0.57,0.008284335,-0.000540129,-0.002205796,,-1.0374,0.00702459,0.001956617,-0.002993867
-0.575,0.007692597,-0.001485355,-0.001905006,,-1.0465,0.006432852,0.001011392,-0.002693077
-0.58,0.007692597,-0.001485355,-0.001905006,,-1.0556,0.006432852,0.001011392,-0.002693077
-0.585,0.008284335,0.000270065,-0.002005269,,-1.0647,0.00702459,0.002766811,-0.00279334
-0.59,0.008613079,0.000540129,-0.00230606,,-1.0738,0.007353334,0.003036875,-0.003094131
-0.595,0.008613079,0.000540129,-0.00230606,,-1.0829,0.007353334,0.003036875,-0.003094131
-0.6,0.008613079,0.000540129,-0.001303425,,-1.092,0.007353334,0.003036875,-0.002091496
-0.605,0.007955592,-0.00121529,-0.001303425,,-1.1011,0.006695847,0.001281456,-0.002091496
-0.61,0.007955592,-0.00121529,-0.001303425,,-1.1102,0.006695847,0.001281456,-0.002091496
-0.615,0.010125298,-0.00121529,-0.001905006,,-1.1193,0.008865554,0.001281456,-0.002693077
-0.62,0.009928052,0.000135032,-0.002005269,,-1.1284,0.008668307,0.002631779,-0.00279334
-0.625,0.009665058,0.000135032,-0.002406323,,-1.1375,0.008405313,0.002631779,-0.003194394
-0.63,0.009730806,0.000945226,-0.002406323,,-1.1466,0.008471061,0.003441972,-0.003194394
-0.635,0.010585539,0.000540129,-0.00260685,,-1.1557,0.009325794,0.003036875,-0.003394921
-0.64,0.009862304,-0.000405097,-0.002105533,,-1.1648,0.008602559,0.00209165,-0.002893604
-0.645,0.010717037,0.001080258,-0.002707114,,-1.1739,0.009457292,0.003577005,-0.003495185
-0.65,0.010256796,0.000675161,-0.002506587,,-1.183,0.008997051,0.003171908,-0.003294658
-0.655,0.011308775,-0.001620387,-0.002105533,,-1.1921,0.01004903,0.000876359,-0.002893604
-0.66,0.010782785,0.000135032,-0.00230606,,-1.2012,0.00952304,0.002631779,-0.003094131
-0.665,0.012755246,-0.00121529,-0.001704479,,-1.2103,0.011495501,0.001281456,-0.00249255
-0.67,0.010914283,-0.000270065,-0.002506587,,-1.2194,0.009654538,0.002226682,-0.003294658
-0.675,0.009993801,0,-0.002406323,,-1.2285,0.008734056,0.002496746,-0.003194394
-0.68,0.012558,-0.000675161,-0.00230606,,-1.2376,0.011298255,0.001821585,-0.003094131
-0.685,0.012689497,-0.001350323,-0.00230606,,-1.2467,0.011429752,0.001146424,-0.003094131
-0.69,0.010848534,0.000675161,-0.002707114,,-1.2558,0.009588789,0.003171908,-0.003495185
-0.695,0.010717037,-0.000405097,-0.002707114,,-1.2649,0.009457292,0.00209165,-0.003495185
-0.7,0.010717037,-0.000405097,-0.002907641,,-1.274,0.009457292,0.00209165,-0.003695712
-0.705,0.013281236,-0.000810194,-0.002506587,,-1.2831,0.012021491,0.001686553,-0.003294658
-0.71,0.011440272,-0.001080258,-0.002506587,,-1.2922,0.010180527,0.001416488,-0.003294658
-0.715,0.011440272,-0.001080258,-0.002506587,,-1.3013,0.010180527,0.001416488,-0.003294658
-0.72,0.01157177,0.001080258,-0.003408958,,-1.3104,0.010312025,0.003577005,-0.004197029
-0.725,0.01157177,0.001080258,-0.003408958,,-1.3195,0.010312025,0.003577005,-0.004197029
-0.73,0.01157177,0.001080258,-0.003408958,,-1.3286,0.010312025,0.003577005,-0.004197029
-0.735,0.013412733,0.000270065,-0.003208431,,-1.3377,0.012152988,0.002766811,-0.003996502
-0.74,0.01157177,0.000135032,-0.002907641,,-1.3468,0.010312025,0.002631779,-0.003695712
-0.745,0.013675728,0,-0.003208431,,-1.3559,0.012415983,0.002496746,-0.003996502
